JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
newNLP Scientist,Excellence and Eminence LLP jobs,"Mumbai, Maharashtra",Posted4 days ago,2022-02-06,"NLP, ML, Computational linguistics, language data processing and software development.",
Data Scientist,Vonage jobs,"Bengaluru, Karnataka",Posted11 days ago,2022-02-06,Work on data science projects as well as support data analysis;,
Data Scientist II,Delhivery,"Remote in Gurgaon, Haryana",Posted30+ days ago,2022-02-06,The Data Science - Optimization Team at Delhivery deals with optimization problems that arise in.,
CIB Data Scientist Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Posted24 days ago,2022-02-06,"As a data scientist with the Wholesale Payments Data and Analytics team, you will be responsible for pulling data and creating dashboards for large clients…",
newSenior Data Scientist (Computer Vision),HERE Technologies,"Mumbai, Maharashtra",Posted2 days ago,2022-02-06,You will help design and build the next iteration of process automation in HERE Core Map processes employing machine learning.,
Data Scientist (m/f/d),aioneers GmbH jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"You gather, analyze and model data to solve complex business problems and evaluate scenarios to make predictions on potential future outcomes.",
Data Scientist,ADCI HYD 13 SEZ,"Hyderabad, Telangana+1 location",Posted11 days ago,2022-02-06,"Experience in data extraction, transformation, statistical analysis and data modeling.",
newData Scientist,EZLynx jobs,"Bengaluru, Karnataka",Posted4 days ago,2022-02-06,"GCP big query, data lake.",
newPROF-ASSOC-PRO-ANALYT - Associate Professional - Data Scient...,Sutherland,"Navi Mumbai, Maharashtra",Posted4 days ago,2022-02-06,"Have ability to interpret data, identify trends, and make suggestions for improvements.",
"newData Scientist, AIML Product",Standard Chartered,"Chennai, Tamil Nadu",Posted3 days ago,2022-02-06,Manage a team dedicated for reviewing models related unstructured and structured data.,
Data Scientist,Walmart Global Tech India jobs,"Bengaluru, Karnataka",Posted19 days ago,2022-02-06,The data scientist will play a key technical role in analyzing large data sets to develop custom models and algorithms to drive business solutions and deliver…,
Data Scientist,UBS,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Research source data and design queries that bring data into Tableau.,
newPrincipal Data & Applied Scientist,Microsoft,"Bengaluru, Karnataka+1 location",Posted4 days ago,2022-02-06,"Good organizational, analytical, data science skills and intuition.",
Data Scientist,Exapas jobs,"Pune, Maharashtra",Posted30 days ago,2022-02-06,A data scientist to work with an interest in solving in challenging problems.,
Product Data Scientist,Snapchat jobs,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Experience using SQL or similar big data querying languages.,
Data Scientist,Indialends,"Gurgaon, Haryana",Posted30+ days ago,2022-02-06,2 year experience in analytics / data science.,
Data Scientist,Testbook,"Navi Mumbai, Maharashtra",Posted23 days ago,2022-02-06,Preparing and managing test data.,
Data Scientist,+1 location,"Pune, Maharashtra+1 location",Posted30+ days ago,2022-02-06,Work with some of the largest data sets in enterprise business.,
newAI/ML - 29981,Quinnox Consultancy Services Limited,"Bengaluru, Karnataka",Posted7 days ago,2022-02-06,"If you also have knowledge of data science and software engineering, we'd like to meet you.",
AGM - Data Scientist,Vodafone Idea,"Mumbai, Maharashtra",Posted18 days ago,2022-02-06,Present information using data visualization techniques.,
"Data Scientist, ENO / AVP",Credit Suisse,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"On-boarding market data, transaction data, e-communication data, voice data and compliance data.",
Data Scientist,Dun & Bradstreet,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Develop custom data models and algorithms to apply to data sets.,
newData Scientist,Kaplan,"Bengaluru, Karnataka",Posted2 days ago,2022-02-06,Coach and collaborate with other data scientists and data analysts.,
Analyst -Tech CoE- Data Scientist,Deloitte,"Gurgaon, Haryana",Posted18 days ago,2022-02-06,Work with fellow data scientists to help meet new data needs for advanced analytics.,
newComputer Vision Research Engineer - Machine Learning,Mercedes-Benz Group AG jobs,"Bengaluru, Karnataka",Posted4 days ago,2022-02-06,"Experience with object classification, gesture recognition or human pose estimation and training deep neural networks using synthetic and artificial data.",
Analyst-Data Science,Accenture,"Mumbai, Maharashtra+1 location",Posted30+ days ago,2022-02-06,"In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…",
Senior Data Scientist,Dodovy Pvt.Ltd jobs,"Remote in Coimbatore, Tamil Nadu",Posted8 days ago,2022-02-06,"Experience communicating with cross-functional stakeholders including product managers, data scientists, and engineers.","₹60,000 a month"
Data Scientist,Salesforce,"Hyderabad, Telangana",Posted8 days ago,2022-02-06,"The ideal candidates will have a solid background in developing end-to-end data science products, including data ETL, model development, model explanations,…",
Data Scientist 2,Microsoft,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,"We are looking for data science team players with strong intellectual curiosity, excellent problem solving and coding skills, deep learning driven forecasting…",
Data Scientist II,Delhivery,"Remote in Gurgaon, Haryana",Posted30+ days ago,2022-02-06,The Data Science - Optimization Team at Delhivery deals with optimization problems that arise in.,
Data Science-Analyst/Consultant-A&C,Deloitte,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights…",
newSr. Associate Data Scientist,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted2 days ago,2022-02-06,Minimum 3+ years of working experience as a data scientist.,
"newData Scientist, Customer DNA",Rakuten,"Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Familiarity with using data visualization tools.,
newAI Scientist 3,IQVIA,"Bengaluru, Karnataka",Posted3 days ago,2022-02-06,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…",
